ID,courseID,SemClassNumber,SemType,SemDays,SemStartTime,SemEndTime,SemLocation,SemInstructor,LabClassNumber,LabType,LabDays,LabStartTime,LabEndTime,LabLocation,LabInstructor
1,1,5194,SEM,MW,8AM,8:50AM,<c.location object at 0x10a97f240>,<c.teacher object at 0x10a97f278>,5195,LAB,MW,9AM,10:15AM,<c.location object at 0x10a97f3c8>,<c.teacher object at 0x10a97f438>
2,1,3257,SEM,MW,11AM,11:50AM,<c.location object at 0x10a97f5f8>,<c.teacher object at 0x10a97f668>,3478,LAB,MW,12PM,1:15PM,<c.location object at 0x10a97f748>,<c.teacher object at 0x10a97f860>
3,1,5776,SEM,MW,7PM,7:50PM,<c.location object at 0x10a97fa20>,<c.teacher object at 0x10a97fa58>,5777,LAB,MW,8PM,9:15PM,<c.location object at 0x10a97fbe0>,<c.teacher object at 0x10a97fc18>
4,1,4497,SEM,MW,8AM,8:50AM,<c.location object at 0x10a97fdd8>,<c.teacher object at 0x10a97fe48>,4498,LAB,MW,9AM,10:15AM,<c.location object at 0x10a97ff98>,<c.teacher object at 0x10a983080>
5,1,4499,SEM,TuTh,11AM,11:50AM,<c.location object at 0x10a983240>,<c.teacher object at 0x10a9832b0>,4500,LAB,TuTh,12PM,1:15PM,<c.location object at 0x10a983390>,<c.teacher object at 0x10a9834a8>
6,1,4799,SEM,TuTh,8AM,8:50AM,<c.location object at 0x10a983668>,<c.teacher object at 0x10a9836a0>,4800,LAB,TuTh,9AM,10:15AM,<c.location object at 0x10a9837f0>,<c.teacher object at 0x10a983860>
7,1,5734,SEM,MW,2PM,2:50PM,<c.location object at 0x10a983a20>,<c.teacher object at 0x10a983a90>,5735,LAB,MW,3PM,4:15PM,<c.location object at 0x10a983c18>,<c.teacher object at 0x10a983c88>
8,2,7339,SEM,F,9AM,9:50AM,<c.location object at 0x10a983dd8>,<c.teacher object at 0x10a983e10>,,,,,,,
9,2,7340,SEM,F,10AM,10:50AM,<c.location object at 0x10a983fd0>,<c.teacher object at 0x10a983f28>,,,,,,,
10,3,2682,SEM,M,9AM,9:50AM,<c.location object at 0x106e4e278>,<c.teacher object at 0x106e4e2e8>,,,TBA,TBA,TBA,<c.location object at 0x106e4e390>,<c.teacher object at 0x106e4e400>
11,4,1195,SEM,MW,12PM,12:50PM,<c.location object at 0x106e4e5c0>,<c.teacher object at 0x106e4e630>,2311,LAB,MW,1PM,2:15PM,<c.location object at 0x106e4e828>,<c.teacher object at 0x106e4e860>
12,4,3726,SEM,TuTh,12:30PM,1:20PM,<c.location object at 0x106e4ea20>,<c.teacher object at 0x106e4ea58>,3727,LAB,TuTh,1:30PM,2:45PM,<c.location object at 0x106e4ebe0>,<c.teacher object at 0x106e4ec18>
13,4,4415,SEM,MW,10AM,10:50AM,<c.location object at 0x106e4edd8>,<c.teacher object at 0x106e4ed30>,4416,LAB,MW,11AM,12:15PM,<c.location object at 0x106e4eef0>,<c.teacher object at 0x106e4ef60>
14,4,4501,SEM,TuTh,3:30PM,4:20PM,<c.location object at 0x106e4b1d0>,<c.teacher object at 0x106e4b240>,4502,LAB,TuTh,4:30PM,5:45PM,<c.location object at 0x106e4b3c8>,<c.teacher object at 0x106e4b438>
15,5,8186,SEM,W,9AM,9:50AM,<c.location object at 0x106e4b5c0>,<c.teacher object at 0x106e4b630>,8187,LAB,W,10AM,11:15AM,<c.location object at 0x106e4b7b8>,<c.teacher object at 0x106e4b828>
16,6,1196,SEM,MW,8AM,8:50AM,<c.location object at 0x106e4ba90>,<c.teacher object at 0x106e4bac8>,2312,LAB,MW,9AM,10:15AM,<c.location object at 0x106e4bc18>,<c.teacher object at 0x106e4bc88>
17,7,8197,SEM,MW,3:30PM,4:45PM,<c.location object at 0x106e4bdd8>,<c.teacher object at 0x106e4be10>,,,,,,,
18,8,3724,SEM,TuTh,2PM,2:50PM,<c.location object at 0x106e48080>,<c.teacher object at 0x106e480b8>,3725,LAB,TuTh,3PM,4:15PM,<c.location object at 0x106e48240>,<c.teacher object at 0x106e48278>
19,9,10270,SEM,F,8AM,9:40AM,<c.location object at 0x106e484e0>,<c.teacher object at 0x106e48518>,10271,LAB,F,10AM,12:30PM,<c.location object at 0x106e485f8>,<c.teacher object at 0x106e48668>
20,9,11064,SEM,MW,5PM,5:50PM,<c.location object at 0x106e48898>,<c.teacher object at 0x106e48908>,11065,LAB,MW,6PM,7:15PM,<c.location object at 0x106e48a90>,<c.teacher object at 0x106e48b00>
21,9,10272,SEM,MW,7PM,7:50PM,<c.location object at 0x106e48cc0>,<c.teacher object at 0x106e48d30>,10273,LAB,MW,8PM,9:15PM,<c.location object at 0x106e48eb8>,<c.teacher object at 0x106e48f28>
22,9,10274,SEM,TuTh,3:30PM,4:20PM,<c.location object at 0x106e47128>,<c.teacher object at 0x106e47160>,10275,LAB,TuTh,4:30PM,5:45PM,<c.location object at 0x106e472e8>,<c.teacher object at 0x106e47320>
23,9,10276,SEM,MW,7PM,7:50PM,<c.location object at 0x106e474e0>,<c.teacher object at 0x106e47518>,10277,LAB,MW,8PM,9:15PM,<c.location object at 0x106e476a0>,<c.teacher object at 0x106e476d8>
24,9,11027,SEM,TuTh,9:30AM,10:20AM,<c.location object at 0x106e47898>,<c.teacher object at 0x106e47908>,11028,LAB,TuTh,10:30AM,11:45AM,<c.location object at 0x106e47ac8>,<c.teacher object at 0x106e47b00>
25,10,1198,SEM,MW,3PM,3:50PM,<c.location object at 0x106e47cf8>,<c.teacher object at 0x106e47d30>,2314,LAB,MW,4PM,5:15PM,<c.location object at 0x106e47eb8>,<c.teacher object at 0x106e47ef0>
26,10,1199,SEM,TuTh,8AM,8:50AM,<c.location object at 0x106e440f0>,<c.teacher object at 0x106e44128>,2315,LAB,TuTh,9AM,10:15AM,<c.location object at 0x106e44278>,<c.teacher object at 0x106e442e8>
27,10,5198,SEM,MW,7:30PM,8:20PM,<c.location object at 0x106e444a8>,<c.teacher object at 0x106e44518>,5199,LAB,MW,8:30PM,9:45PM,<c.location object at 0x106e446a0>,<c.teacher object at 0x106e44710>
28,10,7083,SEM,TuTh,7:30PM,8:20PM,<c.location object at 0x106e448d0>,<c.teacher object at 0x106e44908>,7084,LAB,TuTh,8:30PM,9:45PM,<c.location object at 0x106e44a90>,<c.teacher object at 0x106e44ac8>
29,10,8207,SEM,TuTh,3:30PM,4:20PM,<c.location object at 0x106e44c88>,<c.teacher object at 0x106e44cc0>,8208,LAB,TuTh,4:30PM,5:45PM,<c.location object at 0x106e44e48>,<c.teacher object at 0x106e44e80>
30,11,10279,SEM,MW,3PM,3:50PM,<c.location object at 0x106e43048>,<c.teacher object at 0x106e43080>,10280,LAB,MW,4PM,5:15PM,<c.location object at 0x106e43208>,<c.teacher object at 0x106e43240>
31,12,8418,SEM,MW,3PM,3:50PM,<c.location object at 0x106e434a8>,<c.teacher object at 0x106e434e0>,8419,LAB,MW,4PM,5:15PM,<c.location object at 0x106e43668>,<c.teacher object at 0x106e436a0>
32,12,8896,SEM,MW,5:30PM,6:20PM,<c.location object at 0x106e43860>,<c.teacher object at 0x106e43898>,8897,LAB,MW,6:30PM,7:45PM,<c.location object at 0x106e43a20>,<c.teacher object at 0x106e43a58>
33,12,8898,SEM,TuTh,11AM,11:50AM,<c.location object at 0x106e43c18>,<c.teacher object at 0x106e43b70>,8899,LAB,TuTh,12PM,1:15PM,<c.location object at 0x106e43d30>,<c.teacher object at 0x106e43e10>
34,12,11025,SEM,TuTh,9:30AM,10:20AM,<c.location object at 0x106e43fd0>,<c.teacher object at 0x106e42048>,11026,LAB,TuTh,10:30AM,11:45AM,<c.location object at 0x106e42208>,<c.teacher object at 0x106e421d0>
35,12,11066,SEM,TuTh,8AM,8:50AM,<c.location object at 0x106e423c8>,<c.teacher object at 0x106e42400>,11067,LAB,TuTh,9AM,10:15AM,<c.location object at 0x106e42550>,<c.teacher object at 0x106e425c0>
36,13,10282,SEM,TuTh,11AM,11:50AM,<c.location object at 0x106e42748>,<c.teacher object at 0x106e426a0>,10283,LAB,TuTh,12PM,1:15PM,<c.location object at 0x106e42860>,<c.teacher object at 0x106e42940>
37,14,4023,SEM,F,9AM,10:40AM,<c.location object at 0x106e42b00>,<c.teacher object at 0x106e42ba8>,4024,LAB,F,11AM,1:30PM,<c.location object at 0x106e42cf8>,<c.teacher object at 0x106e42da0>
38,15,6010,SEM,TuTh,11AM,11:50AM,<c.location object at 0x106e42f98>,<c.teacher object at 0x106e40048>,6011,LAB,TuTh,12PM,1:15PM,<c.location object at 0x106e40128>,<c.teacher object at 0x106e40240>
39,16,8357,SEM,TuTh,12:30PM,1:20PM,<c.location object at 0x106e404a8>,<c.teacher object at 0x106e404e0>,8358,LAB,TuTh,1:30PM,2:45PM,<c.location object at 0x106e40668>,<c.teacher object at 0x106e406a0>
40,16,1200,SEM,MW,1PM,1:50PM,<c.location object at 0x106e40860>,<c.teacher object at 0x106e408d0>,2316,LAB,MW,2PM,3:15PM,<c.location object at 0x106e40a58>,<c.teacher object at 0x106e40ac8>
41,16,3728,SEM,TuTh,5PM,5:50PM,<c.location object at 0x106e40c88>,<c.teacher object at 0x106e40cf8>,3729,LAB,TuTh,6PM,7:15PM,<c.location object at 0x106e40e80>,<c.teacher object at 0x106e40ef0>
42,16,6158,SEM,MW,10AM,10:50AM,<c.location object at 0x106e3e0f0>,<c.teacher object at 0x106e3e160>,6159,LAB,MW,11AM,12:15PM,<c.location object at 0x106e3e240>,<c.teacher object at 0x106e3e358>
43,17,10287,SEM,F,1PM,2:40PM,<c.location object at 0x106e3e550>,<c.teacher object at 0x106e3e588>,10288,LAB,F,3PM,5:30PM,<c.location object at 0x106e3e710>,<c.teacher object at 0x106e3e748>
44,17,10289,SEM,TuTh,7:30PM,8:20PM,<c.location object at 0x106e3e908>,<c.teacher object at 0x106e3e940>,10290,LAB,TuTh,8:30PM,9:45PM,<c.location object at 0x106e3eac8>,<c.teacher object at 0x106e3eb00>
45,18,4967,SEM,TuTh,8AM,8:50AM,<c.location object at 0x106e3ecf8>,<c.teacher object at 0x106e3ed30>,4968,LAB,TuTh,9AM,10:15AM,<c.location object at 0x106e3ee80>,<c.teacher object at 0x106e3eef0>
46,18,3260,SEM,MW,10AM,10:50AM,<c.location object at 0x106e3b0f0>,<c.teacher object at 0x106e3b048>,3261,LAB,MW,11AM,12:15PM,<c.location object at 0x106e3b208>,<c.teacher object at 0x106e3b278>
47,18,5783,SEM,MW,3PM,3:50PM,<c.location object at 0x106e3b4a8>,<c.teacher object at 0x106e3b4e0>,5784,LAB,MW,4PM,5:15PM,<c.location object at 0x106e3b668>,<c.teacher object at 0x106e3b6a0>
48,18,6166,SEM,TuTh,2PM,2:50PM,<c.location object at 0x106e3b860>,<c.teacher object at 0x106e3b898>,6167,LAB,TuTh,3PM,4:15PM,<c.location object at 0x106e3ba20>,<c.teacher object at 0x106e3ba58>
49,18,7092,SEM,TuTh,11AM,11:50AM,<c.location object at 0x106e3bc18>,<c.teacher object at 0x106e3bc88>,7093,LAB,TuTh,12PM,1:15PM,<c.location object at 0x106e3bd68>,<c.teacher object at 0x106e3be80>
50,19,4028,SEM,TuTh,11AM,11:50AM,<c.location object at 0x106e39080>,<c.teacher object at 0x106e390b8>,4029,LAB,TuTh,12PM,1:15PM,<c.location object at 0x106e391d0>,<c.teacher object at 0x106e392b0>
51,19,4801,SEM,TuTh,8AM,8:50AM,<c.location object at 0x106e39470>,<c.teacher object at 0x106e394a8>,4802,LAB,TuTh,9AM,10:15AM,<c.location object at 0x106e395f8>,<c.teacher object at 0x106e39668>
52,19,5781,SEM,TuTh,7:30PM,8:20PM,<c.location object at 0x106e39828>,<c.teacher object at 0x106e39898>,5782,LAB,TuTh,8:30PM,9:45PM,<c.location object at 0x106e39a20>,<c.teacher object at 0x106e39a90>
53,19,8249,SEM,MW,5PM,5:50PM,<c.location object at 0x106e39c50>,<c.teacher object at 0x106e39cc0>,8250,LAB,MW,6PM,7:15PM,<c.location object at 0x106e39e48>,<c.teacher object at 0x106e39eb8>
54,19,7096,SEM,F,10AM,11:40AM,<c.location object at 0x106e38080>,<c.teacher object at 0x106e38128>,7097,LAB,F,12PM,2:30PM,<c.location object at 0x106e38208>,<c.teacher object at 0x106e38320>
55,20,10292,SEM,TuTh,8AM,8:50AM,<c.location object at 0x106e384a8>,<c.teacher object at 0x106e384e0>,10293,LAB,TuTh,9AM,10:15AM,<c.location object at 0x106e38630>,<c.teacher object at 0x106e386a0>
56,21,8947,SEM,F,10AM,11:40AM,<c.location object at 0x106e38898>,<c.teacher object at 0x106e38908>,8948,LAB,F,12PM,2:45PM,<c.location object at 0x106e389e8>,<c.teacher object at 0x106e38b00>
57,22,1201,SEM,MW,3PM,3:50PM,<c.location object at 0x106e38d68>,<c.teacher object at 0x106e38da0>,2317,LAB,MW,4PM,5:15PM,<c.location object at 0x106e38f28>,<c.teacher object at 0x106e38f60>
58,22,5640,SEM,TuTh,2PM,2:50PM,<c.location object at 0x10a984160>,<c.teacher object at 0x10a984198>,7111,LAB,TuTh,3PM,4:15PM,<c.location object at 0x10a984320>,<c.teacher object at 0x10a984358>
59,23,10294,SEM,TuTh,2PM,2:50PM,<c.location object at 0x10a9844e0>,<c.teacher object at 0x10a984518>,10295,LAB,TuTh,3PM,4:15PM,<c.location object at 0x10a9846a0>,<c.teacher object at 0x10a9846d8>
